Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen	sitio	cluster_original
56	1	1	14	18	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_193902.wav	CANTERA1Tapy	cluster_9
57	1	1	16	20	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_193902.wav	CANTERA1Tapy	cluster_9
58	1	1	52	56	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_193902.wav	CANTERA1Tapy	cluster_9
59	1	1	0	4	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194002.wav	CANTERA1Tapy	cluster_9
60	1	1	2	6	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194002.wav	CANTERA1Tapy	cluster_9
61	1	1	8	12	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194002.wav	CANTERA1Tapy	cluster_9
62	1	1	10	14	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194002.wav	CANTERA1Tapy	cluster_9
63	1	1	12	16	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194002.wav	CANTERA1Tapy	cluster_9
64	1	1	14	18	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194002.wav	CANTERA1Tapy	cluster_9
65	1	1	12	16	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194302.wav	CANTERA1Tapy	cluster_9
66	1	1	18	22	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194302.wav	CANTERA1Tapy	cluster_9
67	1	1	20	24	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194302.wav	CANTERA1Tapy	cluster_9
68	1	1	24	28	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194302.wav	CANTERA1Tapy	cluster_9
69	1	1	38	42	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194302.wav	CANTERA1Tapy	cluster_9
70	1	1	18	22	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194502.wav	CANTERA1Tapy	cluster_9
71	1	1	20	24	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194502.wav	CANTERA1Tapy	cluster_9
72	1	1	22	26	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194502.wav	CANTERA1Tapy	cluster_9
73	1	1	28	32	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194502.wav	CANTERA1Tapy	cluster_9
74	1	1	30	34	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194502.wav	CANTERA1Tapy	cluster_9
75	1	1	26	30	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194702.wav	CANTERA1Tapy	cluster_9
76	1	1	28	32	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194702.wav	CANTERA1Tapy	cluster_9
77	1	1	30	34	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194702.wav	CANTERA1Tapy	cluster_9
78	1	1	32	36	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194702.wav	CANTERA1Tapy	cluster_9
79	1	1	38	42	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194702.wav	CANTERA1Tapy	cluster_9
80	1	1	46	50	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194702.wav	CANTERA1Tapy	cluster_9
81	1	1	48	52	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194702.wav	CANTERA1Tapy	cluster_9
82	1	1	36	40	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194802.wav	CANTERA1Tapy	cluster_9
83	1	1	38	42	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194802.wav	CANTERA1Tapy	cluster_9
84	1	1	42	46	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194802.wav	CANTERA1Tapy	cluster_9
85	1	1	44	48	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194802.wav	CANTERA1Tapy	cluster_9
86	1	1	46	50	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_194802.wav	CANTERA1Tapy	cluster_9
87	1	1	48	52	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_195102.wav	CANTERA1Tapy	cluster_9
88	1	1	4	8	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_195202.wav	CANTERA1Tapy	cluster_9
89	1	1	6	10	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_195202.wav	CANTERA1Tapy	cluster_9
90	1	1	8	12	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_195202.wav	CANTERA1Tapy	cluster_9
91	1	1	10	14	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_195202.wav	CANTERA1Tapy	cluster_9
92	1	1	12	16	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_195202.wav	CANTERA1Tapy	cluster_9
93	1	1	28	32	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_195302.wav	CANTERA1Tapy	cluster_9
94	1	1	48	52	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_195402.wav	CANTERA1Tapy	cluster_9
95	1	1	50	54	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_195402.wav	CANTERA1Tapy	cluster_9
96	1	1	52	56	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_195402.wav	CANTERA1Tapy	cluster_9
97	1	1	44	48	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_195502.wav	CANTERA1Tapy	cluster_9
98	1	1	46	50	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_195502.wav	CANTERA1Tapy	cluster_9
99	1	1	26	30	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_195702.wav	CANTERA1Tapy	cluster_9
100	1	1	28	32	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_195702.wav	CANTERA1Tapy	cluster_9
101	1	1	36	40	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_195702.wav	CANTERA1Tapy	cluster_9
102	1	1	38	42	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_195702.wav	CANTERA1Tapy	cluster_9
103	1	1	8	12	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_195802.wav	CANTERA1Tapy	cluster_9
104	1	1	10	14	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_195802.wav	CANTERA1Tapy	cluster_9
105	1	1	12	16	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_195802.wav	CANTERA1Tapy	cluster_9
106	1	1	14	18	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_195802.wav	CANTERA1Tapy	cluster_9
107	1	1	16	20	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_195802.wav	CANTERA1Tapy	cluster_9
108	1	1	18	22	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_195802.wav	CANTERA1Tapy	cluster_9
109	1	1	20	24	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200002.wav	CANTERA1Tapy	cluster_9
110	1	1	22	26	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200002.wav	CANTERA1Tapy	cluster_9
111	1	1	24	28	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200002.wav	CANTERA1Tapy	cluster_9
112	1	1	26	30	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200002.wav	CANTERA1Tapy	cluster_9
113	1	1	28	32	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200002.wav	CANTERA1Tapy	cluster_9
114	1	1	30	34	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200002.wav	CANTERA1Tapy	cluster_9
115	1	1	32	36	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200002.wav	CANTERA1Tapy	cluster_9
116	1	1	34	38	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200002.wav	CANTERA1Tapy	cluster_9
117	1	1	36	40	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200002.wav	CANTERA1Tapy	cluster_9
118	1	1	38	42	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_200002.wav	CANTERA1Tapy	cluster_9
