Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen	sitio
1462	1	1	12	16	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_045602.wav	BO-81Tapyta/BO-81TAPYTA_20250413_045602.wav	BO-Tapyta
1463	1	1	0	4	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_003202.wav	BO-81Tapyta/BO-81TAPYTA_20250413_003202.wav	BO-Tapyta
1464	1	1	32	36	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_030802.wav	BO-82Tapyta/BO-82TAPYTA_20250413_030802.wav	BO-Tapyta
1465	1	1	46	50	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_032402.wav	BO-82Tapyta/BO-82TAPYTA_20250413_032402.wav	BO-Tapyta
1466	1	1	8	12	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_032802.wav	BO-81Tapyta/BO-81TAPYTA_20250413_032802.wav	BO-Tapyta
1467	1	1	34	38	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_033502.wav	BO-81Tapyta/BO-81TAPYTA_20250413_033502.wav	BO-Tapyta
1468	1	1	36	40	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_043102.wav	BO-82Tapyta/BO-82TAPYTA_20250413_043102.wav	BO-Tapyta
1469	1	1	44	48	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_025402.wav	BO-81Tapyta/BO-81TAPYTA_20250413_025402.wav	BO-Tapyta
1470	1	1	14	18	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_044302.wav	BO-82Tapyta/BO-82TAPYTA_20250413_044302.wav	BO-Tapyta
1471	1	1	44	48	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_050402.wav	BO-82Tapyta/BO-82TAPYTA_20250413_050402.wav	BO-Tapyta
1472	1	1	0	4	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_045902.wav	BO-81Tapyta/BO-81TAPYTA_20250413_045902.wav	BO-Tapyta
1473	1	1	6	10	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_041702.wav	BO-81Tapyta/BO-81TAPYTA_20250413_041702.wav	BO-Tapyta
1474	1	1	8	12	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_042302.wav	BO-81Tapyta/BO-81TAPYTA_20250413_042302.wav	BO-Tapyta
1475	1	1	4	8	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_053102.wav	BO-82Tapyta/BO-82TAPYTA_20250413_053102.wav	BO-Tapyta
1476	1	1	10	14	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_043402.wav	BO-82Tapyta/BO-82TAPYTA_20250413_043402.wav	BO-Tapyta
1477	1	1	40	44	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_025402.wav	BO-82Tapyta/BO-82TAPYTA_20250413_025402.wav	BO-Tapyta
1478	1	1	50	54	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_002902.wav	BO-82Tapyta/BO-82TAPYTA_20250413_002902.wav	BO-Tapyta
1479	1	1	34	38	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250412_214702.wav	BO-81Tapyta/BO-81TAPYTA_20250412_214702.wav	BO-Tapyta
1480	1	1	46	50	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_034802.wav	BO-82Tapyta/BO-82TAPYTA_20250413_034802.wav	BO-Tapyta
1481	1	1	44	48	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_043402.wav	BO-82Tapyta/BO-82TAPYTA_20250413_043402.wav	BO-Tapyta
1482	1	1	28	32	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_043102.wav	BO-82Tapyta/BO-82TAPYTA_20250413_043102.wav	BO-Tapyta
1483	1	1	48	52	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_024102.wav	BO-82Tapyta/BO-82TAPYTA_20250413_024102.wav	BO-Tapyta
1484	1	1	12	16	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_041002.wav	BO-82Tapyta/BO-82TAPYTA_20250413_041002.wav	BO-Tapyta
1485	1	1	40	44	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_044902.wav	BO-81Tapyta/BO-81TAPYTA_20250413_044902.wav	BO-Tapyta
1486	1	1	26	30	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_044802.wav	BO-81Tapyta/BO-81TAPYTA_20250413_044802.wav	BO-Tapyta
1487	1	1	48	52	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_015502.wav	BO-81Tapyta/BO-81TAPYTA_20250413_015502.wav	BO-Tapyta
1488	1	1	44	48	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_045802.wav	BO-81Tapyta/BO-81TAPYTA_20250413_045802.wav	BO-Tapyta
1489	1	1	26	30	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_042802.wav	BO-81Tapyta/BO-81TAPYTA_20250413_042802.wav	BO-Tapyta
