Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen
203	1	1			0.0	8000.0		
204	1	1			0.0	8000.0		
205	1	1			0.0	8000.0		
206	1	1	28.0	32.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250414_210502.wav
207	1	1			0.0	8000.0		
208	1	1			0.0	8000.0		
209	1	1			0.0	8000.0		
210	1	1			0.0	8000.0		
211	1	1			0.0	8000.0		
212	1	1			0.0	8000.0		
213	1	1	10.0	14.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250418_011202.wav
214	1	1			0.0	8000.0		
215	1	1	30.0	34.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250427_045602.wav
216	1	1	44.0	48.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250426_000402.wav
217	1	1	34.0	38.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250415_222602.wav
218	1	1	36.0	40.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250413_211802.wav
219	1	1	32.0	36.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250414_204902.wav
220	1	1			0.0	8000.0		
221	1	1			0.0	8000.0		
222	1	1			0.0	8000.0		
223	1	1			0.0	8000.0		
224	1	1			0.0	8000.0		
225	1	1			0.0	8000.0		
226	1	1	16.0	20.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250425_010602.wav
227	1	1			0.0	8000.0		
228	1	1	20.0	24.0	0.0	8000.0	cluster_2	BO-81Tapyta/BO-81TAPYTA_20250411_214302.wav
229	1	1	50.0	54.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250424_233602.wav
230	1	1			0.0	8000.0		
231	1	1	22.0	26.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250427_201702.wav
232	1	1			0.0	8000.0		
233	1	1			0.0	8000.0		
234	1	1	14.0	18.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250414_220602.wav
235	1	1			0.0	8000.0		
236	1	1			0.0	8000.0		
237	1	1			0.0	8000.0		
238	1	1	50.0	54.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250416_055502.wav
239	1	1			0.0	8000.0		
240	1	1	44.0	48.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250415_214102.wav
241	1	1			0.0	8000.0		
242	1	1			0.0	8000.0		
243	1	1			0.0	8000.0		
244	1	1			0.0	8000.0		
245	1	1			0.0	8000.0		
246	1	1			0.0	8000.0		
247	1	1			0.0	8000.0		
248	1	1	28.0	32.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250411_194002.wav
249	1	1	44.0	48.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250411_230102.wav
250	1	1			0.0	8000.0		
251	1	1	10.0	14.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250418_013102.wav
252	1	1			0.0	8000.0		
253	1	1			0.0	8000.0		
254	1	1			0.0	8000.0		
255	1	1			0.0	8000.0		
256	1	1			0.0	8000.0		
257	1	1			0.0	8000.0		
258	1	1			0.0	8000.0		
259	1	1			0.0	8000.0		
260	1	1	42.0	46.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250424_010602.wav
261	1	1			0.0	8000.0		
262	1	1			0.0	8000.0		
263	1	1	48.0	52.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250416_222202.wav
264	1	1	12.0	16.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250426_235402.wav
265	1	1			0.0	8000.0		
266	1	1			0.0	8000.0		
267	1	1			0.0	8000.0		
268	1	1			0.0	8000.0		
269	1	1			0.0	8000.0		
270	1	1			0.0	8000.0		
271	1	1	20.0	24.0	0.0	8000.0	cluster_2	BO-81Tapyta/BO-81TAPYTA_20250415_221202.wav
272	1	1	2.0	6.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250415_213802.wav
273	1	1			0.0	8000.0		
274	1	1			0.0	8000.0		
275	1	1	28.0	32.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250425_202102.wav
276	1	1			0.0	8000.0		
277	1	1			0.0	8000.0		
278	1	1			0.0	8000.0		
279	1	1	26.0	30.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250418_035002.wav
280	1	1			0.0	8000.0		
281	1	1			0.0	8000.0		
282	1	1			0.0	8000.0		
283	1	1	10.0	14.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250426_030302.wav
284	1	1			0.0	8000.0		
285	1	1			0.0	8000.0		
286	1	1			0.0	8000.0		
287	1	1			0.0	8000.0		
288	1	1	6.0	10.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250427_025502.wav
289	1	1	0.0	4.0	0.0	8000.0	cluster_2	BO-81Tapyta/BO-81TAPYTA_20250416_034402.wav
290	1	1			0.0	8000.0		
291	1	1	4.0	8.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250426_042302.wav
292	1	1			0.0	8000.0		
293	1	1			0.0	8000.0		
294	1	1			0.0	8000.0		
295	1	1			0.0	8000.0		
296	1	1			0.0	8000.0		
297	1	1			0.0	8000.0		
298	1	1	8.0	12.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250416_223002.wav
299	1	1			0.0	8000.0		
300	1	1			0.0	8000.0		
301	1	1	48.0	52.0	0.0	8000.0	cluster_2	BO-81Tapyta/BO-81TAPYTA_20250413_203402.wav
302	1	1			0.0	8000.0		
303	1	1			0.0	8000.0		
304	1	1			0.0	8000.0		
305	1	1	24.0	28.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250418_012002.wav
306	1	1			0.0	8000.0		
307	1	1			0.0	8000.0		
308	1	1			0.0	8000.0		
